Price,Bathrooms,Bedrooms,ParkingSlots,SquareMeters,GpsLongitude,GpsLatitude,Municipio,Estado
9500000,4,4,4,470.00,-89.6110378,21.0634817,Merida,Yucatán
799999,2,2,1,71.00,-100.3981358,20.6635528,Santiago de Querétaro,Querétaro
5250000,3,3,2,177.00,-99.2993504,19.3557507,Cuajimalpa,Ciudad de México
8200000,2,3,3,156.00,-99.1649891,19.3935143,Benito Juarez,Ciudad de México
6250000,3,3,3,200.00,-99.2936933,19.3563638,Cuajimalpa,Ciudad de México
19750000,3,3,4,256.00,-99.2545406,19.3859923,Cuajimalpa,Ciudad de México
7200000,3,3,4,599.00,-89.61457,21.0232521,Merida,Yucatán
6300000,2,2,2,140.00,-99.1735911,19.3965369,Benito Juarez,Ciudad de México
9900000,3,3,2,199.00,-99.2869718,19.3881874,Huixquilucan,Estado de México
6500000,2,3,2,178.00,-99.2040557,19.3614558,Álvaro Obregón,Ciudad de México
4990000,2,2,2,90.00,-99.1649891,19.3935143,Benito Juarez,Ciudad de México
22950000,2,2,4,359.00,-99.26516,19.3893471,Cuajimalpa,Ciudad de México
15000000,3,3,4,480.00,-99.2654185,19.4091803,Huixquilucan,Estado de México
1200000,1,2,1,80.00,-99.599123,18.9595598,Tenancingo Municipality,Estado de México
5500000,2,3,2,195.00,-99.2933,19.3626,Cuajimalpa,Ciudad de México
720000,1,2,1,67.00,-99.2197254,19.6845793,Cuautitlán Izcalli Municipality,Estado de México
22990000,3,3,4,416.00,-99.2328148,19.4088861,Miguel Hidalgo,Ciudad de México
1499175,2,2,2,750.00,-98.2927352,19.0671581,San Pedro Cholula,Puebla
11990000,4,3,2,305.00,-99.2607327,19.4225395,Huixquilucan,Estado de México
14900000,3,3,3,380.00,-99.2585804,19.4145145,Huixquilucan,Estado de México
7950000,3,3,2,365.00,-99.8971566,20.5405126,Tequisquiapan Municipality,Querétaro
24900000,3,3,3,600.00,-99.2255625,19.3863928,Álvaro Obregón,Ciudad de México
2805000,2,2,1,66.00,-99.1639836,19.3704849,Benito Juarez,Ciudad de México
5490000,2,2,2,95.00,-99.1691413,19.4301322,Cuauhtémoc,Ciudad de México
16900000,3,4,3,300.00,-99.2052,19.3214,Álvaro Obregón,Ciudad de México
18000000,4,4,4,560.00,-99.285257,19.4072972,Huixquilucan,Estado de México
16800000,3,3,3,525.00,-99.2681436,19.4215899,Huixquilucan,Estado de México
